ID,IssueType,LevelDepth,Level1,Level2,Level3,Level4,Level5,ParentID,IsLeaf
1,Accuracy,1,Accuracy,,,,,,0
2,Addition,2,,Addition,,,,1,1
3,"Mistranslation	",2,,"Mistranslation	",,,,1,0
4,"Ambiguous translation	",3,,,"Ambiguous translation	",,,3,1
5,"Date/time	",3,,,"Date/time	",,,3,1
6,Edited ICE Match,3,,,Edited ICE Match,,,3,1
7,Entity (such as name or place),3,,,Entity (such as name or place),,,3,1
8,False friend,3,,,False friend,,,3,1
9,Improper exact match,3,,,Improper exact match,,,3,1
10,"Mistranslation of technical relationship	",3,,,"Mistranslation of technical relationship	",,,3,1
11,Number,3,,,Number,,,3,1
12,OLD_Terminology,3,,,OLD_Terminology,,,3,0
13,"Normative terminology	",4,,,,"Normative terminology	",,12,1
14,OLD_Company terminology,4,,,,OLD_Company terminology,,12,1
15,Overly literal,3,,,Overly literal,,,3,1
16,Should not have been translated,3,,,Should not have been translated,,,3,1
17,Unit conversion,3,,,Unit conversion,,,3,1
18,Omission,2,,Omission,,,,1,0
19,"Omitted text	",3,,,"Omitted text	",,,18,1
20,"Omitted variable	",3,,,"Omitted variable	",,,18,1
21,"Over-translation	",2,,"Over-translation	",,,,1,1
22,"Under-translation	",2,,"Under-translation	",,,,1,1
23,"Untranslated	",2,,"Untranslated	",,,,1,0
24,"Untranslated graphic	",3,,,"Untranslated graphic	",,,23,1
25,"Untranslated text	",3,,,"Untranslated text	",,,23,1
26,"Compatibility	",1,"Compatibility	",,,,,,1
27,"Design	",1,"Design	",,,,,,0
28,"Graphics and tables	",2,,"Graphics and tables	",,,,27,0
29,"Call-outs and captions	",3,,,"Call-outs and captions	",,,28,1
30,"Missing graphic/table	",3,,,"Missing graphic/table	",,,28,1
31,"Position of graphic/table	",3,,,"Position of graphic/table	",,,28,1
32,"Length	",2,,"Length	",,,,27,1
33,"Local formatting	",2,,"Local formatting	",,,,27,0
34,"Font	",3,,,"Font	",,,33,0
35,"Bold/italic	",4,,,,"Bold/italic	",,34,1
36,"Font, single/double-width (CJK only)",4,,,,"Font, single/double-width (CJK only)",,34,1
37,"Wrong size	",4,,,,"Wrong size	",,34,1
38,"Kerning	",3,,,"Kerning	",,,33,1
39,"Leading	",3,,,"Leading	",,,33,1
40,"Paragraph indentation	",3,,,"Paragraph indentation	",,,33,1
41,"Text alignment	",3,,,"Text alignment	",,,33,1
42,"Markup (formatting tags)	",2,,"Markup (formatting tags)	",,,,27,0
43,"Added markup	",3,,,"Added markup	",,,42,1
44,"Inconsistent markup	",3,,,"Inconsistent markup	",,,42,1
45,"Misplaced markup	",3,,,"Misplaced markup	",,,42,1
46,"Missing markup	",3,,,"Missing markup	",,,42,1
47,"Questionable markup	",3,,,"Questionable markup	",,,42,1
48,"Overall design (layout)	",2,,"Overall design (layout)	",,,,27,0
49,"Color	",3,,,"Color	",,,48,1
50,"Footnote/endnote format	",3,,,"Footnote/endnote format	",,,48,1
51,"Global font choice	",3,,,"Global font choice	",,,48,1
52,"Headers and footers	",3,,,"Headers and footers	",,,48,1
53,"Margins	",3,,,"Margins	",,,48,1
54,"Page breaks	",3,,,"Page breaks	",,,48,1
55,"Widows/orphans	",3,,,"Widows/orphans	",,,48,1
